Country,Number_of_Articles,Number of Open Access Articlesinfo,5-Year Cited Articlesinfo,5-Year Citationsinfo,,Country2,Date-pop,Population_1000,Taux_open,Pub_hab,rowid,Country3
Malawi,928,699,229584,297501,,Malawi,2022,20405.32,"0,75323275862069","0,045478336041777",158,Malawi
Malaysia,23382,14003,4045738,8279619,,Malaysia,2022,33938.22,"0,598879479941836","0,688957759128204",159,Malaysia
Maldives,92,63,216,23588,,Maldives,2022,523.79,"0,684782608695652","0,175642910326658",144,Maldives
Mali,451,335,102371,116576,,Mali,2022,22593.59,"0,742793791574279","0,019961413834632",148,Mali
Malta,772,426,173647,27418,,Malta,2022,523.42,"0,551813471502591","1,47491498223224",149,Malta
Marshall Islands,6,5,1903,2586,,Marshall Islands,2022,41.57,"0,833333333333333","0,144334856867934",146,Marshall Islands
Mauritania,66,42,8398,14888,,Mauritania,2022,4736.14,"0,636363636363636","0,013935398869121",155,Mauritania
Mauritius,254,107,68852,133777,,Mauritius,2022,1262.52,"0,421259842519685","0,201184931723854",157,Mauritius
Mexico,23714,15572,6899966,9663552,,Mexico,2022,127504.13,"0,656658513957999","0,185986132370771",73,Mayotte
Micronesia,14,9,816,5875,,"Micronesia Fed, Sts,",2022,114.16,"0,642857142857143","0,122634898388227",145,Mexico
Moldova,467,310,68099,124212,,Moldova,2022,2592.48,"0,663811563169165","0,180136394494847",142,Moldova
Monaco,149,85,78027,87302,,Monaco,2022,36.47,"0,570469798657718","4,08554976693172",141,Monaco
Mongolia,661,417,115872,226307,,Mongolia,2022,3398.37,"0,630862329803328","0,194505012697264",152,Mongolia
Montenegro,358,239,41495,103865,,Montenegro,2022,616.16,"0,667597765363129","0,581017917424046",151,Montenegro
Morocco,6556,3371,1286673,2143693,,Morocco,2022,37457.97,"0,51418547895058","0,17502283225706",140,Morocco
Mozambique,516,362,137339,163024,,Mozambique,2022,32969.52,"0,701550387596899","0,015650819302192",154,Mozambique
Myanmar,335,221,57738,118197,,Myanmar,2022,54179.31,"0,659701492537313","0,006183172137113",150,Myanmar
